3m_buy,3m_overweight,3m_hold,3m_underweight,3m_sell,1m_buy,1m_overweight,1m_hold,1m_underweight,1m_sell,curr_buy,curr_overweight,curr_hold,curr_underweight,curr_sell
22,4,11,1,2,24,5,10,1,2,24,5,10,1,2
28,2,2,0,0,30,2,3,0,0,30,3,2,0,0
N/A,N/A,N/A,N/A,N/A,45,5,2,0,0,44,5,2,0,0
34,4,5,0,0,40,4,1,0,0,37,5,3,0,0
33,4,5,0,0,39,4,1,0,0,36,5,3,0,0
47,3,3,0,0,45,4,4,0,1,44,4,4,0,1
46,3,3,0,0,44,4,4,0,1,43,4,4,0,1
39,3,6,0,1,39,4,6,0,2,38,4,5,0,2
11,1,14,2,9,8,1,15,2,8,10,1,14,3,6
49,4,1,0,0,47,7,3,0,0,46,7,3,0,0
N/A,N/A,N/A,N/A,N/A,2,0,4,0,0,2,0,4,0,0
24,4,2,1,1,25,3,3,1,1,26,6,1,0,1
4,0,8,3,3,4,0,7,3,5,4,0,8,3,5
28,3,5,1,0,29,4,6,0,0,29,4,6,1,0
15,2,9,0,2,N/A,N/A,N/A,N/A,N/A,16,2,6,1,2
10,2,6,0,0,10,2,5,1,0,10,2,6,0,0
27,3,6,1,0,29,4,6,0,0,29,4,5,1,0
N/A,N/A,N/A,N/A,N/A,20,6,6,1,2,20,6,7,0,2
15,1,9,0,0,19,1,6,1,0,20,1,7,1,0
18,1,5,1,3,19,2,4,0,3,20,2,4,0,3
20,1,6,0,0,20,1,6,0,0,18,1,6,0,0
N/A,N/A,N/A,N/A,N/A,23,4,7,1,1,23,5,5,1,1
14,1,11,0,1,15,3,9,0,1,15,3,8,1,1
13,1,8,1,0,11,1,9,1,0,11,1,10,1,0
N/A,N/A,N/A,N/A,N/A,15,4,7,0,1,16,3,7,0,1
N/A,N/A,N/A,N/A,N/A,14,4,7,0,1,15,3,7,0,1
33,3,8,1,0,35,5,7,0,1,35,5,7,0,1
18,4,8,1,0,19,4,9,1,0,20,4,9,1,0
14,3,3,0,0,15,4,2,0,0,16,3,2,0,0
16,3,4,1,0,14,3,7,1,0,14,3,8,1,0
21,8,3,1,0,15,7,4,0,0,14,6,4,1,0
29,3,1,0,0,28,4,1,0,0,28,5,0,0,0
21,2,4,0,1,36,5,3,0,0,37,6,3,0,0
22,2,9,0,0,24,2,7,0,0,25,2,6,0,0
21,2,4,0,1,36,5,3,0,0,37,6,3,0,0
5,0,17,0,3,10,0,14,0,4,8,1,15,0,3
9,1,19,3,6,14,1,15,2,8,14,1,16,2,8
2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0
9,1,18,0,0,9,1,16,0,1,7,1,18,0,1
20,1,10,1,1,21,0,10,1,2,22,0,11,1,1
21,5,12,1,3,N/A,N/A,N/A,N/A,N/A,23,5,9,1,3
26,3,4,1,0,25,3,3,1,0,25,3,3,1,0
14,2,6,0,0,11,5,8,0,0,12,5,7,0,0
16,2,7,0,0,18,2,8,0,0,18,3,6,0,0
12,2,11,0,0,17,1,10,0,0,17,1,11,0,0
10,2,8,1,4,9,1,9,0,5,11,1,9,0,5
18,9,6,0,0,16,6,4,0,0,17,6,4,0,0
6,2,17,0,4,3,2,16,0,5,4,2,17,0,5
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,2,2,1,1
10,3,6,0,1,11,3,7,0,1,11,3,6,0,1
12,1,13,0,0,10,1,15,0,0,11,1,14,0,0
17,1,3,0,0,18,3,1,0,0,17,3,1,0,0
23,4,6,1,2,27,5,6,1,1,27,5,5,1,1
15,5,4,1,1,19,3,4,2,1,20,3,4,2,1
33,2,7,0,1,32,3,9,0,0,31,3,9,0,0
9,2,15,1,0,8,3,15,1,1,7,3,15,1,1
14,0,3,0,0,15,0,3,0,0,15,0,1,0,0
10,0,8,0,0,12,0,7,1,0,12,0,7,1,0
5,1,13,0,0,5,2,14,0,0,5,2,13,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,2,8,0,2
14,2,6,0,0,13,3,5,0,0,14,3,5,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,2,8,0,2
N/A,N/A,N/A,N/A,N/A,12,4,5,0,0,12,3,5,0,0
11,0,1,1,0,10,1,3,1,0,11,1,3,1,0
22,3,5,1,0,23,3,5,1,0,23,3,5,1,0
11,0,2,1,0,10,1,4,1,0,11,1,4,1,0
N/A,N/A,N/A,N/A,N/A,9,2,10,1,0,9,3,9,1,0
15,2,5,1,0,15,2,4,1,0,16,2,5,0,0
10,3,2,0,0,12,3,3,0,0,13,4,3,0,0
15,1,12,2,0,N/A,N/A,N/A,N/A,N/A,16,1,11,1,0
9,1,1,0,0,9,1,0,1,0,8,1,1,1,0
11,3,10,0,4,14,2,11,1,5,14,3,10,0,5
11,3,10,0,4,13,2,11,1,5,13,3,10,0,5
17,1,9,0,1,22,3,6,0,2,22,2,6,1,0
17,1,9,0,1,22,3,6,0,2,22,2,6,1,0
17,1,9,0,2,22,3,6,0,3,22,2,6,1,1
6,2,17,0,4,3,2,16,0,5,4,2,17,0,5
N/A,N/A,N/A,N/A,N/A,11,1,13,1,4,11,2,12,1,4
9,3,14,0,1,14,3,9,0,1,14,3,10,0,0
22,2,4,1,0,23,3,2,1,0,23,3,3,0,0
18,2,5,0,1,18,2,5,0,0,19,2,5,0,0
14,1,1,0,0,N/A,N/A,N/A,N/A,N/A,12,1,1,0,0
22,2,8,0,0,25,3,8,0,0,24,2,9,0,0
19,3,4,0,0,14,2,3,0,1,15,2,3,0,1
19,3,4,0,0,15,2,3,0,1,16,2,3,0,1
8,1,4,1,3,N/A,N/A,N/A,N/A,N/A,15,1,4,1,4
17,1,9,0,0,18,1,9,0,0,18,2,7,1,0
18,1,2,0,1,18,1,2,0,1,18,1,2,0,1
3,0,2,0,0,1,0,1,0,0,1,0,0,0,0
19,2,5,0,0,21,1,5,0,0,18,1,7,0,0
18,2,10,3,2,20,3,9,2,2,19,3,9,2,0
18,2,7,1,1,18,2,9,0,1,18,2,8,0,1
N/A,N/A,N/A,N/A,N/A,5,1,5,1,0,5,1,4,1,0
12,2,9,1,0,N/A,N/A,N/A,N/A,N/A,12,2,10,1,0
N/A,N/A,N/A,N/A,N/A,12,1,8,0,0,13,2,7,0,0
N/A,N/A,N/A,N/A,N/A,17,4,10,0,0,19,4,10,0,0
11,1,11,1,4,10,1,10,2,3,12,1,9,2,3
N/A,N/A,N/A,N/A,N/A,13,2,7,1,4,12,2,7,1,4
16,3,9,0,0,16,2,8,1,0,16,3,7,1,0
13,2,17,1,1,13,2,15,1,2,13,2,16,2,1
20,2,6,1,0,N/A,N/A,N/A,N/A,N/A,20,2,8,1,0
33,3,4,1,0,35,5,3,1,0,32,6,1,0,0
17,0,6,0,0,15,2,6,0,0,15,1,6,1,0
34,3,4,1,0,36,5,3,1,0,33,6,1,0,0
8,3,5,0,0,9,3,3,0,0,9,3,3,0,0
12,2,6,0,0,N/A,N/A,N/A,N/A,N/A,11,2,7,0,0
13,6,11,1,0,11,3,10,0,0,12,3,9,0,0
13,0,5,0,0,12,1,7,0,0,12,1,7,0,0
14,0,15,1,0,12,0,14,1,0,12,0,15,1,0
8,2,1,0,2,8,1,4,0,0,8,1,5,0,0
N/A,N/A,N/A,N/A,N/A,2,0,2,0,0,1,0,2,0,0
14,2,8,0,0,15,2,11,0,0,15,2,10,0,0
3,0,0,0,0,4,0,2,0,0,5,0,2,0,0
17,0,7,1,0,17,0,7,1,0,19,0,5,1,0
17,0,6,0,0,15,2,6,0,0,15,1,6,1,0
16,2,4,0,1,20,2,2,0,1,19,2,2,0,1
18,2,4,0,0,18,3,4,0,0,17,3,5,0,0
14,1,18,0,0,14,2,18,0,0,16,2,15,0,0
20,3,5,1,0,21,2,8,1,0,22,2,9,0,0
9,0,9,0,1,10,0,8,1,0,11,0,8,1,0
18,1,12,0,2,17,1,13,0,2,15,1,14,0,2
18,2,8,1,0,19,3,9,1,0,19,3,10,0,0
12,2,2,0,2,N/A,N/A,N/A,N/A,N/A,13,2,3,0,1
14,2,7,0,0,14,2,8,0,1,15,2,8,0,1
