symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
AAPL,Apple Inc.,121.80,1.82,+1.52%,67.633M,111.885M,2.045T,33.03,111885000,2045000000000
MSFT,Microsoft Corporation,238.64,6.22,+2.68%,15.559M,29.813M,1.8T,35.58,29813000,1800000000000
AMZN,"Amazon.com, Inc.","3,119.29",61.65,+2.02%,1.771M,3.765M,1.571T,74.57,3765000,1571000000000
GOOGL,Alphabet Inc.,"2,107.00",70.81,+3.48%,"676,470",1.791M,1.427T,35.95,1791000,1427000000000
GOOG,Alphabet Inc.,"2,121.61",66.58,+3.24%,"694,733",1.601M,1.424T,36.20,1601000,1424000000000
TCTZF,Tencent Holdings Limited,89.00,4.56,+5.40%,"6,954","34,410",857.016B,,34410,857016000000
TCEHY,Tencent Holdings Limited,89.00,4.41,+5.21%,1.225M,3.093M,855.495B,65.68,3093000,855495000000
FB,"Facebook, Inc.",277.73,12.83,+4.84%,12.966M,19.485M,790.883B,27.53,19485000,790883000000
TSLA,"Tesla, Inc.",694.22,26.16,+3.92%,25.156M,40.345M,666.348B,"1,084.72",40345000,666348000000
BABA,Alibaba Group Holding Limited,241.22,6.92,+2.95%,10.277M,23.252M,657.368B,25.91,23252000,657368000000
BRK-B,Berkshire Hathaway Inc.,262.21,-1.77,-0.67%,3.397M,5.528M,604.185B,0.01,5528000,604185000000
TSM,Taiwan Semiconductor Manufacturing Company Limited,120.22,6.39,+5.61%,11.069M,12.396M,584.676B,53.91,12396000,584676000000
RLLCF,Rolls-Royce Holdings plc,0.0264,0.0053,+25.12%,22.214M,36.386M,575.538B,,36386000,575538000000
V,Visa Inc.,227.73,4.56,+2.04%,4.785M,9.582M,502.11B,47.01,9582000,502110000000
JPM,JPMorgan Chase & Co.,154.84,-0.29,-0.19%,6.686M,14.257M,472.496B,17.44,14257000,472496000000
JNJ,Johnson & Johnson,160.50,1.35,+0.85%,3.187M,8.254M,421.903B,29.13,8254000,421903000000
MA,Mastercard Incorporated,388.57,6.87,+1.80%,2.089M,4.38M,385.991B,61.00,4380000,385991000000
WMT,Walmart Inc.,132.31,0.13,+0.10%,7.987M,9.145M,374.343B,27.85,9145000,374343000000
JPM-PD,JPMorgan Chase & Co.,27.13,0.24,+0.89%,"52,227","122,715",360.438B,3.06,122715,360438000000
JPM-PC,JPMorgan Chase & Co.,27.36,0.07,+0.25%,"93,368","163,517",358.969B,3.08,163517,358969000000
DIS,The Walt Disney Company,197.74,2.68,+1.37%,7.707M,13.322M,358.95B,,13322000,358950000000
LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",135.90,3.4,+2.57%,"73,046","164,435",339.935B,48.93,164435,339935000000
UNH,UnitedHealth Group Incorporated,355.10,5.5,+1.57%,1.073M,3.353M,335.683B,22.15,3353000,335683000000
NVDA,NVIDIA Corporation,520.45,21.72,+4.35%,4.69M,8.092M,322.678B,75.43,8092000,322678000000
BAC,Bank of America Corporation,37.35,-0.02,-0.05%,29.14M,52.728M,322.228B,19.97,52728000,322228000000
PG,The Procter & Gamble Company,127.44,0.11,+0.08%,3.882M,7.775M,313.831B,24.08,7775000,313831000000
NSRGF,Nestlé S.A.,108.50,2.0,+1.88%,"5,459","43,473",310.812B,40.58,43473,310812000000
NSRGY,Nestlé S.A.,108.88,0.94,+0.87%,"220,399","582,093",307.745B,40.72,582093,307745000000
BML-PL,Bank of America Corporation,24.77,0.08,+0.32%,"30,022","47,981",305.196B,13.25,47981,305196000000
BAC-PE,Bank of America Corporation,25.30,0.18,+0.72%,"15,226","26,543",300.535B,13.53,26543,300535000000
PYPL,"PayPal Holdings, Inc.",254.48,12.41,+5.13%,5.764M,9.692M,298.042B,71.89,9692000,298042000000
HD,"The Home Depot, Inc.",269.89,3.65,+1.37%,2.179M,4.298M,290.559B,22.60,4298000,290559000000
BML-PH,Bank of America Corporation,21.42,0.15,+0.71%,"13,116","31,839",290.421B,11.45,31839,290421000000
IDCBF,Industrial and Commercial Bank of China Limited,0.7200,0.0068,+0.95%,500,"55,900",288.281B,5.76,55900,288281000000
RHHBY,Roche Holding AG,41.74,-0.22,-0.51%,1.108M,2.122M,288.077B,,2122000,288077000000
